mode,sample,request_to_window_server_visible_ms
reopen,1,36.328
reopen,2,46.667
reopen,3,43.680
reopen,4,38.359
reopen,5,39.734
reopen,6,41.392
reopen,7,46.813
reopen,8,39.751
reopen,9,33.169
reopen,10,45.950
reopen,11,44.180
reopen,12,101.918
reopen,13,50.114
reopen,14,46.816
reopen,15,53.854
reopen,16,39.849
reopen,17,49.420
reopen,18,47.922
reopen,19,48.191
reopen,20,38.980
