mode,sample,request_to_window_server_visible_ms
reopen,1,94.767
reopen,2,81.973
reopen,3,47.784
reopen,4,67.735
reopen,5,64.700
reopen,6,71.535
reopen,7,71.914
reopen,8,82.398
reopen,9,55.574
reopen,10,64.522
reopen,11,65.875
reopen,12,85.241
reopen,13,80.403
reopen,14,66.147
reopen,15,76.600
reopen,16,79.601
reopen,17,71.073
reopen,18,65.864
reopen,19,68.678
reopen,20,69.249
