mode,sample,request_to_window_server_visible_ms
reopen,1,107.141
reopen,2,73.610
reopen,3,69.110
reopen,4,50.561
reopen,5,68.879
reopen,6,83.778
reopen,7,71.302
reopen,8,60.375
reopen,9,82.593
reopen,10,82.026
reopen,11,69.556
reopen,12,57.557
reopen,13,53.725
reopen,14,69.382
reopen,15,68.296
reopen,16,65.015
reopen,17,82.843
reopen,18,82.098
reopen,19,68.005
reopen,20,56.263
