mode,sample,request_to_window_server_visible_ms,request_unix_seconds,pid
startup,1,498.967,1789526747.535738,10170
startup,2,517.001,1789526748.672953,10183
startup,3,405.630,1789526749.827702,10200
startup,4,527.541,1789526750.873088,10210
startup,5,510.155,1789526752.035950,10218
