mode,sample,request_to_window_server_visible_ms,request_unix_seconds,pid
startup,1,487.357,1789526722.155124,9865
startup,2,526.540,1789526723.289149,9918
startup,3,528.163,1789526724.469661,9928
startup,4,526.276,1789526725.638274,9949
startup,5,529.308,1789526726.832075,9962
