mode,sample,request_to_window_server_visible_ms,request_unix_seconds,pid
reopen,1,49.080,1789526706.903729,9695
reopen,2,75.187,1789526707.645433,9695
reopen,3,62.597,1789526708.502795,9695
reopen,4,54.862,1789526709.262238,9695
reopen,5,69.790,1789526710.004459,9695
reopen,6,65.007,1789526710.772574,9695
reopen,7,79.874,1789526711.671223,9695
reopen,8,49.500,1789526712.445692,9695
reopen,9,64.296,1789526713.195774,9695
reopen,10,60.445,1789526713.948660,9695
reopen,11,65.493,1789526714.704215,9695
reopen,12,151.846,1789526715.462579,9695
reopen,13,54.716,1789526716.312603,9695
reopen,14,64.163,1789526717.047487,9695
reopen,15,54.286,1789526717.787763,9695
reopen,16,62.891,1789526718.529442,9695
reopen,17,48.302,1789526719.279434,9695
reopen,18,39.533,1789526719.988329,9695
reopen,19,40.823,1789526720.696182,9695
reopen,20,40.824,1789526721.405078,9695
