mode,sample,request_to_window_server_visible_ms,request_unix_seconds,pid
reopen,1,46.516,1789526781.633287,10542
reopen,2,88.665,1789526782.366676,10542
reopen,3,81.704,1789526783.200079,10542
reopen,4,62.042,1789526783.975152,10542
reopen,5,71.094,1789526784.735506,10542
reopen,6,82.753,1789526785.500237,10542
reopen,7,66.199,1789526786.366918,10542
reopen,8,48.787,1789526787.125250,10542
reopen,9,72.599,1789526787.875378,10542
reopen,10,71.195,1789526788.636404,10542
reopen,11,78.982,1789526789.402103,10542
reopen,12,172.685,1789526790.169728,10542
reopen,13,77.799,1789526791.036425,10542
reopen,14,73.004,1789526791.784101,10542
reopen,15,79.538,1789526792.550671,10542
reopen,16,66.342,1789526793.321286,10542
reopen,17,77.307,1789526794.076234,10542
reopen,18,71.759,1789526794.942997,10542
reopen,19,55.208,1789526795.709662,10542
reopen,20,79.627,1789526796.443091,10542
