mode,sample,request_to_window_server_visible_ms,request_unix_seconds,pid
reopen,1,52.627,1789527509.146726,13267
reopen,2,54.193,1789527509.872620,13267
reopen,3,48.279,1789527510.702249,13267
reopen,4,44.648,1789527511.418961,13267
reopen,5,41.163,1789527512.144006,13267
reopen,6,36.954,1789527512.852949,13267
reopen,7,40.425,1789527513.572092,13267
reopen,8,37.118,1789527514.288747,13267
reopen,9,67.179,1789527515.013822,13267
reopen,10,60.013,1789527515.758134,13267
reopen,11,69.749,1789527516.513892,13267
reopen,12,80.857,1789527517.263948,13267
reopen,13,71.619,1789527518.036654,13267
reopen,14,130.135,1789527518.811159,13267
reopen,15,56.177,1789527519.636753,13267
reopen,16,70.100,1789527520.372273,13267
reopen,17,50.984,1789527521.136288,13267
reopen,18,66.614,1789527521.861319,13267
reopen,19,64.164,1789527522.636370,13267
reopen,20,62.977,1789527523.494787,13267
