mode,sample,request_to_window_server_visible_ms,request_unix_seconds,pid
reopen,1,49.731,1789526731.813588,10028
reopen,2,89.265,1789526732.551024,10028
reopen,3,77.945,1789526733.405876,10028
reopen,4,59.184,1789526734.180414,10028
reopen,5,76.735,1789526734.952927,10028
reopen,6,77.045,1789526735.706031,10028
reopen,7,75.867,1789526736.589403,10028
reopen,8,65.126,1789526737.372244,10028
reopen,9,78.847,1789526738.136197,10028
reopen,10,80.054,1789526738.906268,10028
reopen,11,71.250,1789526739.783605,10028
reopen,12,61.077,1789526740.539632,10028
reopen,13,52.125,1789526741.297438,10028
reopen,14,73.238,1789526742.047585,10028
reopen,15,87.531,1789526742.806457,10028
reopen,16,166.394,1789526743.573499,10028
reopen,17,65.327,1789526744.431045,10028
reopen,18,70.901,1789526745.172762,10028
reopen,19,53.934,1789526745.931107,10028
reopen,20,72.192,1789526746.681171,10028
