mode,sample,request_to_window_server_visible_ms,request_unix_seconds,pid
startup,1,463.075,1789526772.258192,10419
startup,2,519.641,1789526773.353055,10428
startup,3,501.954,1789526774.519953,10443
startup,4,533.207,1789526775.657971,10451
startup,5,511.758,1789526776.827294,10460
