mode,sample,request_to_window_server_visible_ms
reopen,1,72.508
reopen,2,55.840
reopen,3,46.835
reopen,4,42.711
reopen,5,60.022
reopen,6,65.326
reopen,7,47.129
reopen,8,57.948
reopen,9,50.026
reopen,10,59.753
reopen,11,49.832
reopen,12,59.398
reopen,13,51.346
reopen,14,63.704
reopen,15,59.635
reopen,16,61.971
reopen,17,61.865
reopen,18,43.902
reopen,19,55.790
reopen,20,55.257
