mode,sample,request_to_window_server_visible_ms
reopen,1,42.409
reopen,2,62.700
reopen,3,63.877
reopen,4,64.390
reopen,5,63.033
reopen,6,72.323
reopen,7,58.843
reopen,8,47.762
reopen,9,75.277
reopen,10,83.755
reopen,11,84.460
reopen,12,47.064
reopen,13,67.608
reopen,14,67.689
reopen,15,80.808
reopen,16,56.074
reopen,17,79.587
reopen,18,79.395
reopen,19,72.815
reopen,20,55.686
