mode,sample,request_to_window_server_visible_ms
reopen,1,47.342
reopen,2,69.806
reopen,3,66.810
reopen,4,57.409
reopen,5,77.819
reopen,6,75.732
reopen,7,68.380
reopen,8,48.459
reopen,9,62.466
reopen,10,71.352
reopen,11,70.108
reopen,12,64.424
reopen,13,61.632
reopen,14,71.168
reopen,15,62.578
reopen,16,76.505
reopen,17,60.078
reopen,18,63.469
reopen,19,65.657
reopen,20,64.681
