mode,sample,request_to_window_server_visible_ms
reopen,1,71.246
reopen,2,88.717
reopen,3,88.402
reopen,4,88.200
reopen,5,87.709
reopen,6,80.723
reopen,7,78.149
reopen,8,79.941
reopen,9,81.213
reopen,10,88.803
reopen,11,91.770
reopen,12,50.052
reopen,13,57.026
reopen,14,45.773
reopen,15,55.424
reopen,16,47.309
reopen,17,44.250
reopen,18,83.171
reopen,19,166.149
reopen,20,87.555
