mode,sample,request_to_window_server_visible_ms
reopen,1,45.465
reopen,2,78.373
reopen,3,63.950
reopen,4,47.528
reopen,5,68.887
reopen,6,41.012
reopen,7,40.667
reopen,8,38.296
reopen,9,45.538
reopen,10,51.238
reopen,11,55.648
reopen,12,82.423
reopen,13,76.660
reopen,14,46.185
reopen,15,67.402
reopen,16,70.727
reopen,17,64.363
reopen,18,174.231
reopen,19,64.523
reopen,20,54.732
