scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
clipboard,baseline,2736680,12075008,2736680,218688,0.121,0
clipboard,seed_images,95109864,116424704,125305600,684272,6170.301,12
clipboard,seed_settled,95109864,116424704,95109864,684160,303.906,0
clipboard,rows_loaded,108970728,130285568,108970728,89962608,61.273,12
clipboard,rows_released,108970728,130285568,108970728,684288,304.086,0
clipboard,text_queries_10,108987112,130351104,109380328,684864,365.696,10
clipboard,text_queries_20,108987112,130351104,109380328,685264,364.415,10
clipboard,text_queries_30,108987112,130351104,109380328,684992,360.725,10
clipboard,released,108987112,121569280,108987112,365632,305.284,0
clipboard,pool_drained,108987112,121569280,108987112,365120,305.240,0
clipboard,allocator_relief,108987112,121569280,108987112,365648,0.168,0
clipboard,after_relief,108987112,121569280,108987112,365248,305.276,0
