scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
idle,baseline,2736680,12075008,2736680,218688,0.108,0
idle,model_loaded,5227072,20922368,5227072,797696,17.573,0
idle,idle_3s,8749704,29605888,8749704,2059280,3000.912,0
idle,released,8749704,29589504,8749704,1731040,305.139,0
idle,pool_drained,8749704,29589504,8749704,1731104,302.750,0
idle,allocator_relief,8749704,29589504,8749704,1731632,0.170,0
idle,after_relief,8749704,29589504,8749704,1731232,307.178,0
