scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
idle,baseline,2736680,12075008,2736680,218688,0.142,0
idle,model_loaded,5292632,20971520,5292632,794992,18.555,0
idle,idle_3s,8716960,29556736,8716960,2046960,3004.400,0
idle,released,8716960,29540352,8716960,1718560,305.062,0
idle,pool_drained,8716960,29540352,8716960,1718624,303.790,0
idle,allocator_relief,8716960,29540352,8716960,1719152,0.145,0
idle,after_relief,8716960,29540352,8716960,1718752,301.253,0
