scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
image-decode,baseline,2736680,12075008,2736680,218688,0.139,0
image-decode,seed_images,9749128,23347200,144032464,535664,9791.988,3
image-decode,seed_settled,9749128,23347200,9749128,535424,300.807,0
image-decode,rows_loaded,10371720,23969792,10371720,1470400,1.017,3
image-decode,decoded_full_size,14975936,238272512,148964240,204465024,121.617,3
image-decode,decoded_retained,14975936,238272512,14975936,204465088,301.585,0
image-decode,rows_released,14795592,238174208,14795592,203527840,301.453,0
image-decode,text_queries_10,14795592,238223360,15024968,203528416,7.147,10
image-decode,text_queries_20,14795592,238223360,14926664,203528944,5.789,10
image-decode,text_queries_30,14795592,238223360,15024968,203528880,5.678,10
image-decode,released,14795592,237207552,14795592,203355440,301.515,0
image-decode,pool_drained,14795592,237207552,14795592,203354928,301.475,0
image-decode,allocator_relief,14795592,237207552,14795592,203355456,0.338,0
image-decode,after_relief,14795592,237207552,14795592,203355392,302.071,0
