scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
notes,baseline,2736680,12075008,2736680,218688,0.160,0
notes,seed_notebook,4964928,14401536,4964928,226976,112.799,1000
notes,notebook_loaded,88146568,97959936,88146568,82813104,28.768,1000
notes,reload_1,171475664,182534144,171475664,82865120,31.897,1000
notes,reload_2,174605008,185663488,174605008,82865120,25.163,1000
notes,reload_3,174654160,185712640,174654160,82881504,24.731,1000
notes,released,174654160,185712640,174654160,303776,305.875,0
notes,pool_drained,174654160,185712640,174654160,303504,305.000,0
notes,allocator_relief,174686928,185745408,174686928,304032,0.297,0
notes,after_relief,174686928,185745408,174686928,303632,301.647,0
