scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
emoji,baseline,2736680,12075008,2736680,218688,0.167,0
emoji,model_loaded,5227072,20922368,5227072,758912,23.703,0
emoji,cycles_25,8782448,28213248,8782448,1863344,109.759,25
emoji,cycles_50,9273968,29163520,9273968,2100784,106.561,25
emoji,cycles_75,9437808,29327360,9437808,2271520,106.148,25
emoji,cycles_100,9634440,29917184,9634440,2344272,106.281,25
emoji,released,9945736,30867456,9945736,1949824,305.213,0
emoji,pool_drained,9945736,30867456,9945736,1800064,301.831,0
emoji,allocator_relief,9945736,30867456,9945736,1800592,0.152,0
emoji,after_relief,9945736,30867456,9945736,1800192,303.949,0
