scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
image-decode,baseline,2736680,12075008,2736680,218688,0.156,0
image-decode,seed_images,9749128,23347200,144032464,535280,9755.707,3
image-decode,seed_settled,9749128,23347200,9749128,535040,303.736,0
image-decode,rows_loaded,10371720,23969792,10371720,1469888,0.794,3
image-decode,decoded_full_size,14959576,238239744,141591560,204462080,129.142,3
image-decode,decoded_retained,14959576,238239744,14959576,204462144,301.485,0
image-decode,rows_released,14762824,238141440,14762824,203524896,301.310,0
image-decode,text_queries_10,14762824,238190592,14762824,203525472,4.611,10
image-decode,text_queries_20,14762824,238190592,14762824,203525536,4.010,10
image-decode,text_queries_30,14762824,238190592,14762824,203525936,3.947,10
image-decode,released,14762824,237174784,14762824,203352496,301.411,0
image-decode,pool_drained,14762824,237174784,14762824,203351984,301.611,0
image-decode,allocator_relief,14762824,237174784,14762824,203352512,0.498,0
image-decode,after_relief,14762824,237174784,14762824,203352112,301.846,0
