scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
emoji,baseline,2736680,12075008,2736680,218688,0.092,0
emoji,model_loaded,5210688,20905984,5210688,792704,13.184,0
emoji,cycles_25,8831600,28262400,8831600,1865200,108.707,25
emoji,cycles_50,9323120,29212672,9323120,2097328,105.787,25
emoji,cycles_75,9486960,29376512,9486960,2270704,106.785,25
emoji,cycles_100,9667184,29966336,9667184,2343408,108.111,25
emoji,released,9962096,30900224,9962096,1951808,305.291,0
emoji,pool_drained,9962096,30900224,9962096,1801920,301.759,0
emoji,allocator_relief,9962096,30900224,9962096,1802448,0.136,0
emoji,after_relief,9962096,30900224,9962096,1802048,305.336,0
