scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
acp,baseline,2736680,12075008,2736680,218688,0.108,0
acp,transcript_loaded,4211240,13598720,4211240,1619248,8.737,1800
acp,snapshots_100,12370496,21872640,12370496,3148432,539.399,100
acp,snapshots_200,12370496,21872640,12370496,3148336,536.736,100
acp,snapshots_300,12386880,21889024,12386880,3148368,532.744,100
acp,snapshots_400,12386880,21889024,12386880,3148400,536.388,100
acp,released,12386880,21889024,12386880,326992,305.182,0
acp,pool_drained,12386880,21889024,12386880,327104,303.600,0
acp,allocator_relief,12419648,21921792,12419648,327264,0.509,0
acp,after_relief,12436032,21938176,12436032,326832,305.092,0
