scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
notes,baseline,2736680,12075008,2736680,218688,0.169,0
notes,seed_notebook,4981312,14417920,4981312,226896,115.097,1000
notes,notebook_loaded,88162952,97976320,88162952,82813152,29.208,1000
notes,reload_1,171475664,182534144,171475664,82865040,32.767,1000
notes,reload_2,174506704,185565184,174506704,82864784,25.537,1000
notes,reload_3,174555856,185614336,174555856,82881504,24.388,1000
notes,released,174555856,185614336,174555856,303440,303.350,0
notes,pool_drained,174555856,185614336,174555856,303840,301.532,0
notes,allocator_relief,174555856,185614336,174555856,303568,0.335,0
notes,after_relief,174555856,185614336,174555856,303632,305.162,0
