scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
idle,baseline,2736680,12075008,2736680,218688,0.106,0
idle,model_loaded,5210688,20905984,5210688,795056,15.485,0
idle,idle_3s,8716936,29573120,8716936,2048624,3004.467,0
idle,released,8716936,29556736,8716936,1720256,301.055,0
idle,pool_drained,8716936,29556736,8716936,1720320,301.144,0
idle,allocator_relief,8716936,29556736,8716936,1720512,0.269,0
idle,after_relief,8716936,29556736,8716936,1720448,305.285,0
