scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
clipboard,baseline,2753088,12107776,2753088,218688,0.159,0
clipboard,seed_images,95126248,116441088,125321984,684304,6222.237,12
clipboard,seed_settled,95126248,116441088,95126248,684192,303.768,0
clipboard,rows_loaded,108987112,130301952,108987112,89962640,57.028,12
clipboard,rows_released,108987112,130301952,108987112,684320,304.148,0
clipboard,text_queries_10,109003496,130367488,109396712,684896,376.582,10
clipboard,text_queries_20,109003496,130367488,109396712,684960,357.776,10
clipboard,text_queries_30,109003496,130367488,109396712,685360,358.376,10
clipboard,released,109003496,121585664,109003496,365664,305.195,0
clipboard,pool_drained,109003496,121585664,109003496,365152,303.133,0
clipboard,allocator_relief,109003496,121585664,109003496,365680,0.107,0
clipboard,after_relief,109003496,121585664,109003496,365280,305.281,0
