scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
acp,baseline,2736680,12075008,2736680,218688,0.096,0
acp,transcript_loaded,4211240,13598720,4211240,1619248,7.784,1800
acp,snapshots_100,12452416,21954560,12452416,3148432,539.965,100
acp,snapshots_200,12452416,21954560,12452416,3148368,531.025,100
acp,snapshots_300,15925824,25427968,15925824,3148432,533.198,100
acp,snapshots_400,15925824,25427968,15925824,3148496,537.576,100
acp,released,15925824,25427968,15925824,327120,301.401,0
acp,pool_drained,15925824,25427968,15925824,327184,303.729,0
acp,allocator_relief,15958592,25460736,15958592,326992,0.169,0
acp,after_relief,15958592,25460736,15958592,327392,303.863,0
